session_id,user_id,start_time,end_time,device_type
S000038,U00012,2025-07-20 20:02:00,2025-07-20 20:21:00,Mobile
S000039,U00013,2025-04-27 08:39:00,2025-04-27 11:16:00,Tablet
S000040,U00013,2025-07-15 20:37:00,2025-07-15 23:03:00,Tablet
S000041,U00013,2025-04-18 20:58:00,2025-04-18 23:29:00,Tablet
S000042,U00014,2025-05-28 21:32:00,2025-05-28 22:15:00,Desktop
S000043,U00014,2025-08-02 09:51:00,2025-08-02 11:23:00,Tablet
S000044,U00015,2025-03-11 11:02:00,2025-03-11 12:10:00,Tablet
S000045,U00016,2025-09-21 22:33:00,2025-09-21 23:18:00,Mobile
S000046,U00016,2025-09-18 15:24:00,2025-09-18 17:13:00,Mobile
S000047,U00016,2025-09-28 07:50:00,2025-09-28 09:20:00,Desktop
S000048,U00016,2025-09-17 09:35:00,2025-09-17 11:18:00,Mobile
S000049,U00017,2025-04-15 10:21:00,2025-04-15 10:46:00,Tablet
S000050,U00017,2025-02-12 10:58:00,2025-02-12 12:32:00,Mobile
S000051,U00017,2025-02-04 18:08:00,2025-02-04 20:45:00,Tablet
S000052,U00018,2024-11-15 18:41:00,2024-11-15 20:10:00,Desktop
S000053,U00019,2025-09-16 22:05:00,2025-09-16 23:58:00,Tablet
S000054,U00019,2024-10-02 06:23:00,2024-10-02 07:47:00,Desktop
S000055,U00019,2024-05-04 16:49:00,2024-05-04 18:58:00,Desktop
S000056,U00019,2024-05-16 10:09:00,2024-05-16 10:33:00,Mobile
S000057,U00019,2024-01-09 22:49:00,2024-01-10 01:12:00,Tablet
S000058,U00019,2025-03-20 07:42:00,2025-03-20 09:13:00,Tablet
S000059,U00020,2025-05-05 10:10:00,2025-05-05 11:01:00,Tablet
S000060,U00020,2024-10-01 20:02:00,2024-10-01 21:52:00,Mobile
S000061,U00021,2025-10-04 13:28:00,2025-10-04 14:45:00,Tablet
S000062,U00021,2025-10-05 20:14:00,2025-10-05 22:35:00,Desktop
S000063,U00021,2025-09-27 21:57:00,2025-09-27 22:51:00,Mobile
S000064,U00021,2025-10-03 20:29:00,2025-10-03 21:46:00,Mobile
S000065,U00021,2025-10-01 22:26:00,2025-10-01 23:12:00,Desktop
S000066,U00021,2025-10-05 10:55:00,2025-10-05 12:04:00,Desktop
S000067,U00022,2025-03-22 17:35:00,2025-03-22 18:06:00,Tablet
S000068,U00022,2025-09-25 22:54:00,2025-09-25 23:30:00,Mobile
S000069,U00022,2024-08-30 11:17:00,2024-08-30 13:17:00,Tablet
S000070,U00022,2024-10-02 19:05:00,2024-10-02 20:06:00,Mobile
S000071,U00022,2025-01-13 06:26:00,2025-01-13 06:44:00,Mobile
S000072,U00022,2025-04-02 17:15:00,2025-04-02 18:58:00,Desktop
S000073,U00023,2025-01-17 06:20:00,2025-01-17 06:50:00,Tablet
S000074,U00023,2025-08-23 16:50:00,2025-08-23 17:32:00,Desktop
S000075,U00023,2024-10-14 15:58:00,2024-10-14 18:03:00,Tablet
S000076,U00024,2025-08-31 21:28:00,2025-08-31 21:34:00,Desktop
S000077,U00024,2023-08-04 14:13:00,2023-08-04 14:56:00,Tablet
S000078,U00025,2024-10-31 22:27:00,2024-10-31 23:00:00,Mobile
S000079,U00025,2023-10-17 15:07:00,2023-10-17 15:24:00,Desktop
S000080,U00025,2024-04-20 20:04:00,2024-04-20 20:37:00,Mobile
S000081,U00025,2024-10-19 06:40:00,2024-10-19 08:56:00,Tablet
S000082,U00025,2023-10-21 10:18:00,2023-10-21 12:12:00,Desktop
S000083,U00025,2024-11-06 17:15:00,2024-11-06 19:46:00,Mobile
S000084,U00026,2025-08-19 08:33:00,2025-08-19 10:10:00,Desktop
S000085,U00026,2025-07-14 22:50:00,2025-07-15 01:04:00,Tablet
S000086,U00027,2025-09-01 21:02:00,2025-09-01 22:46:00,Mobile
S000087,U00028,2024-02-10 17:50:00,2024-02-10 18:12:00,Mobile
S000088,U00028,2024-09-27 09:49:00,2024-09-27 12:22:00,Tablet
S000089,U00028,2024-12-30 10:02:00,2024-12-30 11:37:00,Tablet
S000090,U00029,2025-09-06 11:53:00,2025-09-06 13:56:00,Tablet
S000091,U00029,2025-06-14 11:51:00,2025-06-14 12:30:00,Desktop
S000092,U00029,2025-06-03 07:18:00,2025-06-03 08:14:00,Desktop
S000093,U00030,2024-02-26 16:59:00,2024-02-26 18:23:00,Tablet
S000094,U00030,2025-02-25 21:16:00,2025-02-25 21:30:00,Tablet
S000095,U00031,2025-04-12 17:55:00,2025-04-12 18:12:00,Tablet
S000096,U00031,2025-05-05 14:07:00,2025-05-05 15:46:00,Mobile
S000097,U00032,2025-10-03 20:57:00,2025-10-03 22:40:00,Mobile
S000098,U00032,2025-08-28 21:44:00,2025-08-28 23:56:00,Mobile
S000099,U00032,2025-09-19 14:51:00,2025-09-19 15:17:00,Tablet
S000100,U00032,2025-09-13 08:27:00,2025-09-13 11:06:00,Desktop
S000101,U00033,2024-01-09 16:06:00,2024-01-09 16:31:00,Mobile
S000102,U00033,2025-01-19 15:19:00,2025-01-19 17:18:00,Tablet
S000103,U00033,2025-03-18 19:10:00,2025-03-18 21:08:00,Mobile
S000104,U00033,2024-06-14 07:46:00,2024-06-14 09:21:00,Tablet
S000105,U00033,2024-06-02 14:40:00,2024-06-02 14:59:00,Desktop
S000106,U00034,2025-04-07 18:23:00,2025-04-07 20:39:00,Tablet
S000107,U00034,2025-05-20 11:01:00,2025-05-20 11:42:00,Tablet
S000108,U00034,2025-05-19 20:02:00,2025-05-19 20:39:00,Desktop
S000109,U00034,2024-02-21 17:23:00,2024-02-21 19:06:00,Tablet
S000110,U00034,2023-07-28 10:43:00,2023-07-28 12:43:00,Mobile
S000111,U00034,2024-07-09 20:48:00,2024-07-09 21:12:00,Tablet
S000112,U00035,2025-03-03 17:25:00,2025-03-03 18:50:00,Tablet
S000113,U00035,2024-06-19 13:07:00,2024-06-19 13:18:00,Tablet
S000114,U00036,2025-06-18 22:24:00,2025-06-19 00:52:00,Desktop
S000115,U00036,2024-10-18 14:45:00,2024-10-18 16:44:00,Desktop
S000116,U00037,2025-04-30 21:12:00,2025-04-30 21:48:00,Desktop
S000117,U00037,2025-01-11 20:11:00,2025-01-11 22:09:00,Desktop
S000118,U00037,2025-05-17 17:45:00,2025-05-17 18:06:00,Tablet
S000119,U00037,2025-09-08 15:57:00,2025-09-08 17:18:00,Desktop
S000120,U00037,2025-03-04 17:32:00,2025-03-04 18:34:00,Desktop
S000121,U00038,2025-02-11 13:50:00,2025-02-11 16:01:00,Desktop
S000122,U00038,2025-06-04 17:29:00,2025-06-04 19:55:00,Desktop
S000123,U00039,2023-11-19 08:19:00,2023-11-19 10:05:00,Tablet
S000124,U00039,2025-08-28 21:33:00,2025-08-28 23:23:00,Mobile
S000125,U00039,2025-04-02 08:08:00,2025-04-02 09:34:00,Tablet
S000126,U00039,2023-11-06 20:29:00,2023-11-06 22:46:00,Mobile
S000127,U00039,2024-01-01 11:49:00,2024-01-01 12:27:00,Mobile
S000128,U00040,2024-04-11 09:33:00,2024-04-11 10:17:00,Mobile
S000129,U00040,2024-08-01 11:20:00,2024-08-01 12:22:00,Mobile
S000130,U00040,2025-07-30 15:54:00,2025-07-30 16:19:00,Mobile
S000131,U00040,2024-09-03 14:08:00,2024-09-03 15:30:00,Tablet
S000132,U00040,2025-08-14 08:32:00,2025-08-14 09:20:00,Tablet
S000133,U00041,2024-01-09 11:42:00,2024-01-09 14:21:00,Mobile
S000134,U00041,2025-03-04 07:52:00,2025-03-04 08:04:00,Desktop
S000135,U00041,2023-09-20 14:41:00,2023-09-20 15:39:00,Tablet
S000136,U00041,2024-10-04 06:31:00,2024-10-04 08:55:00,Mobile
S000137,U00041,2025-05-23 15:30:00,2025-05-23 16:37:00,Tablet
S000138,U00042,2024-09-18 20:04:00,2024-09-18 20:24:00,Desktop
S000139,U00042,2025-02-11 19:30:00,2025-02-11 21:33:00,Desktop
S000140,U00042,2024-11-01 10:20:00,2024-11-01 11:46:00,Tablet
S000141,U00042,2024-11-06 18:08:00,2024-11-06 19:47:00,Tablet
S000142,U00043,2024-07-19 16:15:00,2024-07-19 18:19:00,Desktop
S000143,U00043,2024-10-09 20:15:00,2024-10-09 20:56:00,Desktop
S000144,U00043,2024-06-20 15:24:00,2024-06-20 17:16:00,Desktop
S000145,U00043,2025-09-30 11:52:00,2025-09-30 13:20:00,Tablet
S000146,U00043,2025-05-30 16:12:00,2025-05-30 16:57:00,Mobile
S000147,U00044,2025-08-05 21:56:00,2025-08-05 23:19:00,Mobile
S000148,U00044,2024-05-07 08:25:00,2024-05-07 10:39:00,Mobile
S000149,U00044,2024-12-16 12:37:00,2024-12-16 14:12:00,Desktop
S000150,U00044,2024-06-04 15:31:00,2024-06-04 18:08:00,Tablet
S000151,U00044,2025-08-08 15:34:00,2025-08-08 15:41:00,Desktop
S000152,U00045,2023-10-07 14:46:00,2023-10-07 16:24:00,Mobile
S000153,U00045,2024-05-31 07:25:00,2024-05-31 07:43:00,Tablet
S000154,U00045,2024-12-18 12:23:00,2024-12-18 14:49:00,Mobile
S000155,U00045,2023-08-06 18:32:00,2023-08-06 20:32:00,Tablet
S000156,U00046,2025-09-23 09:08:00,2025-09-23 09:37:00,Mobile
S000157,U00046,2025-02-04 16:35:00,2025-02-04 18:13:00,Desktop
S000158,U00046,2024-11-06 22:25:00,2024-11-07 00:38:00,Desktop
S000159,U00047,2025-02-12 10:45:00,2025-02-12 12:15:00,Mobile
S000160,U00048,2025-09-04 10:38:00,2025-09-04 12:54:00,Desktop
S000161,U00048,2025-08-18 16:10:00,2025-08-18 17:55:00,Tablet
S000162,U00048,2025-08-15 16:32:00,2025-08-15 18:47:00,Tablet
S000163,U00048,2025-09-08 15:30:00,2025-09-08 15:39:00,Mobile
S000164,U00048,2025-08-19 09:26:00,2025-08-19 12:00:00,Mobile
S000165,U00049,2024-02-02 21:16:00,2024-02-02 23:49:00,Tablet
S000166,U00049,2024-08-26 07:37:00,2024-08-26 09:44:00,Desktop
S000167,U00049,2025-06-25 18:09:00,2025-06-25 19:16:00,Desktop
S000168,U00049,2025-08-14 09:12:00,2025-08-14 09:21:00,Mobile
S000169,U00049,2024-11-22 19:09:00,2024-11-22 20:59:00,Tablet
S000170,U00049,2024-08-01 19:32:00,2024-08-01 21:37:00,Tablet
S000171,U00050,2024-07-06 10:33:00,2024-07-06 11:31:00,Tablet
S000172,U00050,2024-11-18 21:33:00,2024-11-18 23:14:00,Mobile
S000173,U00050,2024-09-01 20:58:00,2024-09-01 23:19:00,Mobile
S000174,U00050,2025-03-11 17:43:00,2025-03-11 18:55:00,Tablet
S000175,U00050,2025-02-07 12:15:00,2025-02-07 13:31:00,Tablet
S000176,U00050,2024-11-04 13:19:00,2024-11-04 14:37:00,Tablet
S000177,U00051,2025-08-07 21:20:00,2025-08-07 23:27:00,Mobile
S000178,U00051,2025-07-05 14:18:00,2025-07-05 14:54:00,Tablet
S000179,U00052,2024-12-13 18:57:00,2024-12-13 20:43:00,Mobile
S000180,U00052,2025-08-05 10:18:00,2025-08-05 10:33:00,Mobile
S000181,U00052,2025-06-06 08:22:00,2025-06-06 10:20:00,Tablet
S000182,U00052,2024-02-23 21:13:00,2024-02-23 22:09:00,Tablet
S000183,U00052,2024-03-09 14:08:00,2024-03-09 14:40:00,Tablet
S000184,U00052,2025-07-03 13:15:00,2025-07-03 13:32:00,Tablet
S000185,U00053,2025-05-18 13:03:00,2025-05-18 13:33:00,Mobile
S000186,U00053,2025-06-14 21:06:00,2025-06-14 21:46:00,Desktop
S000187,U00053,2025-08-09 11:26:00,2025-08-09 13:32:00,Mobile
S000188,U00053,2025-09-04 12:48:00,2025-09-04 14:06:00,Mobile
S000189,U00053,2025-06-03 07:58:00,2025-06-03 08:25:00,Tablet
S000190,U00054,2024-12-29 07:58:00,2024-12-29 08:47:00,Mobile
S000191,U00054,2024-12-01 07:53:00,2024-12-01 09:39:00,Mobile
S000192,U00054,2024-12-06 15:56:00,2024-12-06 16:10:00,Desktop
S000193,U00054,2025-02-01 09:59:00,2025-02-01 11:29:00,Mobile
S000194,U00054,2025-04-22 22:31:00,2025-04-22 23:10:00,Tablet
S000195,U00055,2024-10-31 12:51:00,2024-10-31 13:24:00,Mobile
S000196,U00055,2024-07-10 20:41:00,2024-07-10 21:51:00,Tablet
S000197,U00055,2024-08-03 06:47:00,2024-08-03 08:18:00,Mobile
S000198,U00055,2025-08-29 12:11:00,2025-08-29 13:59:00,Mobile
S000199,U00056,2024-12-09 08:25:00,2024-12-09 08:54:00,Desktop
S000200,U00056,2024-09-04 21:20:00,2024-09-04 22:28:00,Desktop
S000201,U00056,2024-11-05 18:15:00,2024-11-05 20:14:00,Mobile
S000202,U00056,2024-12-10 15:37:00,2024-12-10 18:08:00,Desktop
S000203,U00056,2024-11-05 17:44:00,2024-11-05 18:49:00,Desktop
S000204,U00057,2025-06-30 20:19:00,2025-06-30 21:04:00,Mobile
S000205,U00057,2025-08-18 09:40:00,2025-08-18 11:00:00,Mobile
S000206,U00057,2025-07-26 13:08:00,2025-07-26 15:15:00,Desktop
S000207,U00057,2025-09-24 17:26:00,2025-09-24 19:51:00,Mobile
S000208,U00057,2025-07-25 13:43:00,2025-07-25 16:20:00,Desktop
S000209,U00057,2025-09-22 22:45:00,2025-09-23 00:22:00,Desktop
S000210,U00058,2025-03-06 07:53:00,2025-03-06 10:18:00,Tablet
S000211,U00058,2025-04-21 10:10:00,2025-04-21 11:38:00,Tablet
S000212,U00058,2025-08-22 09:43:00,2025-08-22 10:40:00,Tablet
S000213,U00058,2025-09-15 08:57:00,2025-09-15 11:12:00,Mobile
S000214,U00058,2025-02-05 20:08:00,2025-02-05 22:24:00,Mobile
S000215,U00059,2025-09-05 07:35:00,2025-09-05 09:38:00,Tablet
S000216,U00059,2025-08-03 06:25:00,2025-08-03 07:35:00,Desktop
S000217,U00059,2025-09-28 12:37:00,2025-09-28 13:00:00,Desktop
S000218,U00059,2025-08-18 17:44:00,2025-08-18 18:05:00,Tablet
S000219,U00060,2025-03-15 21:02:00,2025-03-15 22:20:00,Mobile
S000220,U00061,2025-06-20 10:49:00,2025-06-20 12:41:00,Mobile
S000221,U00061,2024-05-20 20:55:00,2024-05-20 22:36:00,Mobile
S000222,U00062,2025-05-10 10:41:00,2025-05-10 12:15:00,Desktop
S000223,U00063,2025-09-28 22:08:00,2025-09-28 23:10:00,Desktop
S000224,U00063,2025-09-04 15:29:00,2025-09-04 17:53:00,Mobile
S000225,U00064,2024-10-19 13:15:00,2024-10-19 15:17:00,Mobile
S000226,U00064,2024-03-03 14:12:00,2024-03-03 14:45:00,Desktop
S000227,U00064,2025-08-03 19:39:00,2025-08-03 19:48:00,Desktop
S000228,U00064,2024-04-25 08:06:00,2024-04-25 10:43:00,Desktop
S000229,U00064,2024-12-27 07:15:00,2024-12-27 07:31:00,Mobile
S000230,U00065,2024-09-30 12:48:00,2024-09-30 13:07:00,Desktop
S000231,U00065,2025-02-15 15:14:00,2025-02-15 17:46:00,Mobile
S000232,U00065,2025-03-25 16:15:00,2025-03-25 17:37:00,Desktop
S000233,U00065,2025-05-07 22:14:00,2025-05-08 00:04:00,Mobile
S000234,U00066,2024-01-03 11:40:00,2024-01-03 13:34:00,Tablet
S000235,U00066,2025-03-23 07:22:00,2025-03-23 09:04:00,Tablet
S000236,U00066,2024-09-23 19:26:00,2024-09-23 20:09:00,Mobile
S000237,U00067,2024-12-18 21:15:00,2024-12-18 22:17:00,Mobile
S000238,U00067,2025-09-12 10:51:00,2025-09-12 12:54:00,Desktop
S000239,U00067,2025-06-29 19:26:00,2025-06-29 21:53:00,Tablet
S000240,U00067,2024-11-22 18:15:00,2024-11-22 19:25:00,Desktop
S000241,U00068,2024-04-07 20:54:00,2024-04-07 22:33:00,Desktop
S000242,U00068,2025-07-19 12:03:00,2025-07-19 13:16:00,Mobile
S000243,U00068,2025-09-28 07:55:00,2025-09-28 08:18:00,Desktop
S000244,U00069,2025-09-16 21:13:00,2025-09-16 22:43:00,Mobile
S000245,U00069,2025-09-03 12:59:00,2025-09-03 13:52:00,Tablet
S000246,U00069,2025-09-10 21:58:00,2025-09-10 23:05:00,Tablet
S000247,U00069,2025-09-16 18:58:00,2025-09-16 20:04:00,Tablet
S000248,U00069,2025-09-23 15:24:00,2025-09-23 17:28:00,Tablet
S000249,U00070,2025-03-07 15:16:00,2025-03-07 16:53:00,Tablet
S000250,U00070,2025-05-17 20:06:00,2025-05-17 22:11:00,Mobile
S000251,U00070,2024-12-18 17:20:00,2024-12-18 19:10:00,Desktop
S000252,U00070,2025-06-20 13:47:00,2025-06-20 14:29:00,Desktop
S000253,U00070,2025-01-16 19:18:00,2025-01-16 20:02:00,Desktop
S000254,U00070,2025-02-20 13:24:00,2025-02-20 15:54:00,Desktop
S000255,U00071,2024-08-05 16:16:00,2024-08-05 18:26:00,Tablet
S000256,U00071,2024-11-07 21:29:00,2024-11-07 22:17:00,Tablet
S000257,U00071,2025-04-13 17:10:00,2025-04-13 17:50:00,Tablet
S000258,U00071,2024-08-01 21:11:00,2024-08-01 23:34:00,Tablet
S000259,U00072,2025-08-24 07:53:00,2025-08-24 08:17:00,Tablet
S000260,U00073,2025-04-21 06:26:00,2025-04-21 07:06:00,Tablet
S000261,U00074,2025-08-31 10:00:00,2025-08-31 11:00:00,Tablet
S000262,U00074,2025-09-25 17:03:00,2025-09-25 19:11:00,Tablet
S000263,U00075,2025-01-27 06:34:00,2025-01-27 09:00:00,Mobile
S000264,U00075,2025-01-25 06:33:00,2025-01-25 07:48:00,Tablet
S000265,U00075,2025-06-14 06:32:00,2025-06-14 08:27:00,Desktop
S000266,U00075,2025-03-14 09:33:00,2025-03-14 10:16:00,Desktop
S000267,U00076,2025-10-02 17:17:00,2025-10-02 19:03:00,Desktop
S000268,U00076,2025-10-03 18:29:00,2025-10-03 20:58:00,Desktop
S000269,U00077,2023-12-29 15:43:00,2023-12-29 16:08:00,Tablet
S000270,U00077,2025-03-07 07:05:00,2025-03-07 08:53:00,Mobile
S000271,U00077,2024-06-01 21:03:00,2024-06-01 21:10:00,Tablet
S000272,U00077,2023-11-03 08:31:00,2023-11-03 10:27:00,Tablet
S000273,U00077,2025-07-23 16:36:00,2025-07-23 17:05:00,Tablet
S000274,U00077,2023-06-24 13:13:00,2023-06-24 15:43:00,Mobile
S000275,U00078,2025-08-29 08:43:00,2025-08-29 09:59:00,Tablet
S000276,U00078,2025-10-02 07:11:00,2025-10-02 08:36:00,Desktop
S000277,U00078,2025-09-09 10:48:00,2025-09-09 12:34:00,Desktop
S000278,U00079,2024-03-13 13:36:00,2024-03-13 15:20:00,Tablet
S000279,U00079,2025-04-04 16:24:00,2025-04-04 17:04:00,Tablet
S000280,U00079,2023-12-18 22:47:00,2023-12-19 00:20:00,Desktop
S000281,U00080,2025-05-30 13:53:00,2025-05-30 14:17:00,Mobile
S000282,U00081,2025-08-27 18:49:00,2025-08-27 20:17:00,Desktop
S000283,U00081,2025-07-24 14:50:00,2025-07-24 16:50:00,Mobile
S000284,U00081,2025-04-11 17:35:00,2025-04-11 19:16:00,Mobile
S000285,U00081,2025-03-31 18:05:00,2025-03-31 19:25:00,Desktop
S000286,U00081,2025-08-13 08:05:00,2025-08-13 09:18:00,Desktop
S000287,U00082,2025-07-22 10:47:00,2025-07-22 12:31:00,Mobile
S000288,U00082,2024-07-28 09:05:00,2024-07-28 09:11:00,Mobile
S000289,U00082,2024-10-22 17:48:00,2024-10-22 19:02:00,Desktop
S000290,U00082,2023-12-07 08:11:00,2023-12-07 10:06:00,Mobile
S000291,U00083,2025-09-03 22:26:00,2025-09-03 22:57:00,Desktop
S000292,U00083,2024-05-14 17:35:00,2024-05-14 18:03:00,Tablet
S000293,U00083,2025-01-10 18:00:00,2025-01-10 19:19:00,Mobile
S000294,U00083,2025-03-16 08:46:00,2025-03-16 11:14:00,Desktop
S000295,U00083,2025-09-20 22:10:00,2025-09-20 23:52:00,Desktop
S000296,U00084,2024-10-19 15:17:00,2024-10-19 17:28:00,Desktop
S000297,U00084,2024-03-22 11:27:00,2024-03-22 12:42:00,Mobile
S000298,U00085,2025-08-15 08:23:00,2025-08-15 09:32:00,Desktop
S000299,U00085,2025-08-27 12:29:00,2025-08-27 13:01:00,Desktop
S000300,U00085,2025-02-12 06:25:00,2025-02-12 07:55:00,Tablet
S000301,U00086,2024-07-21 20:21:00,2024-07-21 22:16:00,Tablet
S000302,U00086,2025-04-18 10:19:00,2025-04-18 11:46:00,Tablet
S000303,U00086,2025-07-30 12:30:00,2025-07-30 13:55:00,Desktop
S000304,U00086,2024-09-29 16:18:00,2024-09-29 18:28:00,Tablet
S000305,U00087,2023-12-21 18:17:00,2023-12-21 20:02:00,Mobile
S000306,U00087,2023-05-18 12:37:00,2023-05-18 15:01:00,Desktop
S000307,U00088,2025-03-09 06:46:00,2025-03-09 08:49:00,Tablet
S000308,U00088,2024-03-25 20:51:00,2024-03-25 22:10:00,Tablet
S000309,U00088,2023-11-02 19:43:00,2023-11-02 21:55:00,Desktop
S000310,U00088,2025-06-02 15:15:00,2025-06-02 16:24:00,Tablet
S000311,U00088,2024-01-28 19:50:00,2024-01-28 21:31:00,Desktop
S000312,U00088,2024-11-25 21:37:00,2024-11-25 23:24:00,Tablet
S000313,U00089,2025-08-10 19:34:00,2025-08-10 19:48:00,Mobile
S000314,U00089,2024-12-26 08:06:00,2024-12-26 09:14:00,Tablet
S000315,U00089,2024-11-18 17:10:00,2024-11-18 17:26:00,Tablet
S000316,U00089,2024-10-29 18:48:00,2024-10-29 20:17:00,Mobile
S000317,U00089,2023-04-26 06:06:00,2023-04-26 07:17:00,Desktop
S000318,U00090,2025-06-30 13:28:00,2025-06-30 15:08:00,Mobile
S000319,U00090,2025-06-02 22:09:00,2025-06-02 23:42:00,Desktop
S000320,U00090,2025-06-12 09:18:00,2025-06-12 11:09:00,Desktop
S000321,U00090,2024-12-06 10:22:00,2024-12-06 11:46:00,Mobile
S000322,U00090,2025-05-29 12:33:00,2025-05-29 14:41:00,Mobile
S000323,U00091,2023-06-18 20:46:00,2023-06-18 22:46:00,Mobile
S000324,U00091,2023-05-18 15:02:00,2023-05-18 15:36:00,Desktop
S000325,U00091,2025-07-27 16:41:00,2025-07-27 17:13:00,Tablet
S000326,U00091,2025-06-07 11:59:00,2025-06-07 13:06:00,Tablet
S000327,U00092,2024-09-29 11:21:00,2024-09-29 13:49:00,Mobile
S000328,U00092,2024-06-29 13:51:00,2024-06-29 15:39:00,Tablet
S000329,U00093,2024-04-20 19:25:00,2024-04-20 19:37:00,Tablet
S000330,U00093,2025-07-02 12:28:00,2025-07-02 15:04:00,Mobile
S000331,U00094,2023-08-12 12:13:00,2023-08-12 13:29:00,Tablet
S000332,U00094,2023-10-11 09:51:00,2023-10-11 12:13:00,Desktop
S000333,U00094,2024-08-16 16:12:00,2024-08-16 18:14:00,Desktop
S000334,U00094,2024-05-02 21:33:00,2024-05-02 22:58:00,Tablet
S000335,U00095,2025-07-29 09:22:00,2025-07-29 10:57:00,Mobile
S000336,U00095,2025-04-08 15:58:00,2025-04-08 18:34:00,Desktop
S000337,U00095,2025-03-19 16:07:00,2025-03-19 17:13:00,Mobile
S000338,U00095,2025-03-10 11:23:00,2025-03-10 12:04:00,Tablet
S000339,U00096,2025-07-01 10:36:00,2025-07-01 12:19:00,Mobile
S000340,U00096,2024-11-05 21:40:00,2024-11-06 00:02:00,Tablet
S000341,U00096,2024-10-23 11:31:00,2024-10-23 12:49:00,Desktop
S000342,U00096,2024-11-06 16:53:00,2024-11-06 18:53:00,Tablet
S000343,U00097,2025-07-06 06:31:00,2025-07-06 07:10:00,Desktop
S000344,U00098,2024-11-02 22:41:00,2024-11-03 00:52:00,Mobile
S000345,U00098,2025-03-08 21:26:00,2025-03-08 23:24:00,Mobile
S000346,U00098,2023-09-25 08:36:00,2023-09-25 08:48:00,Desktop
S000347,U00098,2024-01-31 07:17:00,2024-01-31 08:19:00,Tablet
S000348,U00099,2024-09-05 20:36:00,2024-09-05 22:47:00,Tablet
S000349,U00099,2025-08-22 09:36:00,2025-08-22 10:10:00,Mobile
S000350,U00099,2025-09-24 17:34:00,2025-09-24 17:49:00,Tablet
S000351,U00100,2025-09-06 12:27:00,2025-09-06 12:58:00,Tablet
S000352,U00100,2024-11-04 15:55:00,2024-11-04 16:08:00,Mobile
S000353,U00100,2024-11-20 17:55:00,2024-11-20 18:22:00,Mobile
S000354,U00100,2024-06-24 13:13:00,2024-06-24 15:48:00,Tablet
S000355,U00101,2025-07-25 19:10:00,2025-07-25 19:50:00,Desktop
S000356,U00101,2025-06-07 12:51:00,2025-06-07 13:11:00,Tablet
S000357,U00101,2024-02-19 14:38:00,2024-02-19 17:00:00,Desktop
